"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.08.2021","305,65","287,88","307,67","277,87","947,64M","6,37%"
"01.07.2021","287,35","281,85","298,48","273,10","940,68M","1,97%"
"01.06.2021","281,80","261,97","281,82","261,58","913,63M","7,96%"
"01.05.2021","261,03","232,20","268,38","230,96","881,19M","12,81%"
"01.04.2021","231,38","228,40","237,45","219,60","855,09M","1,82%"
"01.03.2021","227,24","219,33","238,23","218,25","945,48M","4,45%"
"01.02.2021","217,56","214,70","233,35","212,24","1,01B","2,22%"
"01.01.2021","212,83","212,71","231,44","210,22","1,26B","-0,07%"
"01.12.2020","212,98","182,60","215,38","181,78","1,60B","17,09%"
"01.11.2020","181,89","153,98","189,10","151,90","1,36B","17,90%"
"01.10.2020","154,28","171,16","173,41","153,70","1,03B","-9,23%"
"01.09.2020","169,97","181,40","186,29","169,60","1,04B","-6,10%"
