"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.08.2021","183,73","173,01","187,10","172,09","130,67M","5,95%"
"01.07.2021","173,41","171,20","175,19","163,58","139,63M","1,38%"
"01.06.2021","171,05","169,45","180,30","168,45","192,08M","1,13%"
"01.05.2021","169,14","178,99","192,63","167,10","184,27M","-4,87%"
"01.04.2021","177,80","174,22","181,62","166,43","155,27M","2,21%"
"01.03.2021","173,95","174,10","178,48","163,75","203,82M","0,37%"
"01.02.2021","173,31","158,45","175,70","154,35","187,94M","9,95%"
"01.01.2021","157,62","159,50","167,82","156,22","190,45M","-1,02%"
"01.12.2020","159,25","153,10","169,00","152,76","233,28M","4,17%"
"01.11.2020","152,88","133,90","154,87","131,02","347,11M","13,93%"
"01.10.2020","134,19","147,40","155,92","133,75","275,92M","-8,66%"
"01.09.2020","146,92","138,01","150,00","129,00","238,41M","6,56%"
