"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.08.2021","1.344,70","1.153,00","1.433,80","1.153,00","7,43M","16,90%"
"01.07.2021","1.150,30","1.079,50","1.170,00","1.019,00","2,99M","6,50%"
"01.06.2021","1.080,10","1.030,00","1.135,00","1.024,50","4,03M","5,03%"
"01.05.2021","1.028,40","921,00","1.035,50","917,80","4,53M","11,00%"
"01.04.2021","926,50","937,00","994,50","890,20","6,06M","-1,12%"
"01.03.2021","937,00","777,30","937,00","715,40","5,55M","21,56%"
"01.02.2021","770,80","706,50","789,20","692,90","5,49M","9,04%"
"01.01.2021","706,90","598,00","708,70","582,00","5,42M","18,63%"
"01.12.2020","595,90","594,20","600,00","570,60","1,48M","-0,10%"
"01.11.2020","596,50","571,50","604,60","557,90","2,01M","4,83%"
"01.10.2020","569,00","569,70","611,00","547,10","4,18M","0,14%"
"01.09.2020","568,20","507,90","571,00","503,40","3,64M","12,25%"
