"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.08.2021","327,94","306,23","338,99","306,06","753,90M","7,31%"
"01.07.2021","305,59","306,00","308,37","290,03","605,45M","-0,28%"
"01.06.2021","306,45","312,60","316,58","303,34","699,84M","-1,40%"
"01.05.2021","310,79","298,70","320,19","293,00","980,30M","4,39%"
"01.04.2021","297,73","292,00","301,84","278,00","1,21B","2,31%"
"01.03.2021","291,02","273,00","295,72","271,13","1,37B","7,72%"
"01.02.2021","270,17","260,00","276,48","258,55","1,29B","4,67%"
"01.01.2021","258,11","274,67","296,07","257,36","1,47B","-4,98%"
"01.12.2020","271,65","250,75","287,74","249,80","1,66B","8,82%"
"01.11.2020","249,63","200,45","252,88","196,15","2,31B","24,20%"
"01.10.2020","200,99","229,08","229,90","200,50","1,49B","-12,29%"
"01.09.2020","229,14","226,70","232,60","215,79","1,40B","1,34%"
